"Level","ICAO","STAR","Transition","Runway","Seq","Waypoint","DatabaseAltitude","RealAltitude","DatabaseSpeed","RealSpeed","AltitudeCompare","SpeedCompare","Notes","Source"
"1","EDDV","ELNA2P","DL27R","27R","1","_START","AT 10000","(none)","(none)","(none)","Extra in DB","Yes (both none)","Scenario start altitude, not a chart restriction","Game"
"1","EDDV","ELNA2P","DL27R","27R","2","ELNAT","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","STAR fix; no published crossing restriction","DFS ELNAT STAR family"
"1","EDDV","ELNA2P","DL27R","27R","3","NORTA","(none)","(none)","MAX 240","(none)","Yes (both none)","Extra in DB","No NORTA-specific restriction. TMA MAX 250 kt below FL100 applies generally","DFS / TMA note"
"1","EDDV","ELNA2P","DL27R","27R","4","DLE-5","BETWEEN 8000-9000","(none)","(none)","(none)","Extra in DB","Yes (both none)","Game-constructed DME fix; not a published STAR waypoint (intentionally used)","n/a"
"1","EDDV","ELNA2P","DL27R","27R","5","DV582","(none)","(none)","MAX 220","(none)","Yes (both none)","Extra in DB","Radar-vector box overlay; not on STAR plate","EDDV radar overlay"
"1","EDDV","ELNA2P","DL27R","27R","6","DV583","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box (C = pattern centre)","EDDV radar overlay"
"1","EDDV","ELNA2P","DL27R","27R","7","DV584","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box overlay","EDDV radar overlay"
"1","EDDV","ELNA2P","DL27R","27R","8","DV585","(none)","(none)","MAX 200","(none)","Yes (both none)","Extra in DB","Radar-vector box overlay","EDDV radar overlay"
"1","EDDV","ELNA2P","DL27R","27R","9","DV575","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box overlay","EDDV radar overlay"
"1","EDDV","ELNA2P","DL27R","27R","10","DV574","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box overlay","EDDV radar overlay"
"1","EDDV","ELNA2P","DL27R","27R","11","DV573","(none)","(none)","MAX 190","(none)","Yes (both none)","Extra in DB","Radar-vector box overlay","EDDV radar overlay"
"1","EDDV","ELNA2P","DL27R","27R","12","DV572","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box overlay","EDDV radar overlay"
"1","EDDV","ELNA2P","DL27R","27R","13","XAVER","AT 3000","AT 3000","MAX 179","(none)","Yes","Extra in DB","ILS-Z RWY 27R intercept 3000. 179 kt in DB is Vapp, not a plate MAX","VATSIM Germany / ILS-Z 27R"
"1","EDDV","ELNA2P","DL27R","27R","14","HANB","AT 1440","AT 1400","MAX 173","(none)","Yes","Extra in DB","3 deg GS at 4 NM ~1400 (THR 168). 173 kt in DB is Vapp","EDDV SRA/ILS profile 4 NM"
