"Level","File","ICAO","STAR","Transition","Runway","Seq","Waypoint","DbAltRaw","DbSpdRaw","DbAlt","DbSpd","Distance","Heading","Details"
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","1","ELNAT","Details:","0","Details:","","6","20",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","2","NORTA","Details:","240","Details:","240 (MAX)","6","5",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","3","DLE-5","8000A9000B","0","8000A / 9000B (between)","","3","6",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","4","DV582","Details:","220","Details:","220 (MAX)","3","91",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","5","DV583","Details: C","0","Details: C","","3","91","C"
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","6","DV584","Details:","0","Details:","","3","91",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","7","DV585","Details:","200","Details:","200 (MAX)","3","91",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","8","DV575","Details:","0","Details:","","3","1",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","9","DV574","Details:","0","Details:","","3","271",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","10","DV573","Details:","190","Details:","190 (MAX)","3","271",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","11","DV572","Details:","0","Details:","","3","271",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","12","XAVER","3000","179","3000 (at)","179 (MAX)","3","276",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","13","HANB","1440","173","1440 (at)","173 (MAX)","3","271",""
"1","Route1.asset","EDDV","ELNA2P","DL27R","27R","14","RW27R","219","0","219 (at)","","3","271",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","1","HLZ","Details:","0","Details:","","9","267",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","2","CELNB","11000B","0","11000B (at or below)","","31.1","294",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","3","DV460","Details:","220","Details:","220 (MAX)","17.5","260",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","4","DV461","Details:","0","Details:","","4","271",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","5","DV462","Details:","0","Details:","","4","271",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","6","DV463","Details:","0","Details:","","4","271",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","7","DV464","Details:","0","Details:","","4","271",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","8","DV465","Details:","0","Details:","","4","271",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","9","DV475","Details:","0","Details:","","5","181",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","10","DV474","Details:","0","Details:","","4","91",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","11","DV473","Details:","0","Details:","","4","91",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","12","DV472","Details:","0","Details:","","4","91",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","13","DESIM","3000","0","3000 (at)","","3.1","84",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","14","HWNB","1460","0","1460 (at)","","4.8","93",""
"2","Route 2.asset","EDDV","HLZ4R","CE09L","09L","15","RW09L","219","0","219 (at)","","4","89",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","1","DINAN ","Details:","0","Details:","","9","180",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","2","CRL80 ","24000","280","24000 (at)","280 (MAX)","35.3","254",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","3","ZERAM ","18000","0","18000 (at)","","15.7","254",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","4","ANARU ","Details:","0","Details:","","12.8","252",""
